barcode,product_name,editeur,supplier_name,total_qty_invoiced,list_price
9782812607530,"MONSIEUR HULOT - T04 - MONSIEUR HULOT A LA PLAGE - ILLUSTRATIONS, COULEUR",ROUERGUE,Union Distribution (UD),5.00,16
9782812610554,"BUFFALO BELLE - ILLUSTRATIONS, NOIR ET BLANC",ROUERGUE,Union Distribution (UD),1.00,12
9782812610578,"HEU-REUX - ILLUSTRATIONS, COULEUR",ROUERGUE,Union Distribution (UD),1.00,14.95
9782812610592,KILOMETRE ZERO,ROUERGUE,Union Distribution (UD),3.00,9.5
9782812617799,"LA FACE CACHEE DU PRINCE CHARMANT - ILLUSTRATIONS, COULEUR",ROUERGUE,Union Distribution (UD),1.00,16
9782812621246,"ROSIE - ILLUSTRATIONS, COULEUR",ROUERGUE,Union Distribution (UD),1.00,14
9782812622298,LA PRINCESSE REBELLE SE DEVOILE,ROUERGUE,Union Distribution (UD),1.00,16
9782812623097,LES ENFANTS MARTYRS DE RIAUMONT - ENQUETE SUR UN PENSIONNAT INTEGRISTE,ROUERGUE,Union Distribution (UD),1.00,22
9782812623677,"ET TOI, ET TOI ?",ROUERGUE,Union Distribution (UD),1.00,15
9782812624070,TERRE SILENCIEUSE - EMPECHER L'EXTINCTION DES INSECTES,ROUERGUE,Union Distribution (UD),1.00,23.8
9782812625763,S'ARRACHER,ROUERGUE,Union Distribution (UD),1.00,9.9
9782812626111,EUREKA DANS LA NUIT,ROUERGUE,Union Distribution (UD),1.00,22
9782812626203,LE SANG D'ENCRE - T01 - LE SANG D'ENCRE - VOLUME 1,ROUERGUE,Union Distribution (UD),1.00,21.5
9782812626241,JE MOURRAI PAS GIBIER,ROUERGUE,Union Distribution (UD),6.00,9
9782812626463,ON A TIRE SUR ARAGON,ROUERGUE,Union Distribution (UD),1.00,23
9782812626913,LES OUBLIEUX,ROUERGUE,Union Distribution (UD),1.00,17.8
9782812627019,LE SANG D'ENCRE - VOLUME 2,ROUERGUE,Union Distribution (UD),1.00,22
9782812627026,BARABAL SKAW,ROUERGUE,Union Distribution (UD),1.00,17.8
9782812627118,HAIKUS DU BORD DE MER,ROUERGUE,Union Distribution (UD),1.00,15.8
9782812627125,LOCH NOIR,ROUERGUE,Union Distribution (UD),17.00,23
9782812932427,APRES LES TENEBRES,DE BOREE,SODIS,1.00,8.80
9782812940064,	NOS ENFANCES VOLEES,DE BOREE,SODIS,2.00,20.90
9782812940545,Les Cicatrices de la Bête,DE BOREE,SODIS,1.00,20.90
9782813200327,LA VOIE DU MILIEU - COMPRENDRE LE ROLE PRIMORDIAL DU DALAI-LAMA,TREDANIEL,Interforum ,1.00,23.10
9782813200655,LA BIBLE DES CRISTAUX - T01 - LA BIBLE DES CRISTAUX - VOLUME 1,TREDANIEL,Interforum ,2.00,21.89
9782813200914,D'ACCORD AVEC TON CORPS - SE LIBERER DES MAUX PHYSIQUES PAR LA PENSEE POSITIVE,TREDANIEL,Interforum ,1.00,6.60
9782813201270,QI GONG ANTI-AGE (DVD),TREDANIEL,Interforum ,2.00,28.6
9782813201966,JE PENSE TROP - COMMENT CANALISER CE MENTAL ENVAHISSANT,TREDANIEL,Interforum ,77.00,19.25
9782813202284,CANCER : L'APPROCHE BELJANSKI,TREDANIEL,Interforum ,1.00,15.62
9782813202406,COMPRENDRE LE LANGAGE DU CORPS - LE DIAGNOSTIC ORIENTAL,TREDANIEL,Interforum ,1.00,24.20
